日期,冬瓜,南瓜,土豆,大白菜,大葱,大蒜,富士苹果,巨峰葡萄,平菇,油菜,洋白菜,活草鱼,活鲤鱼,活鲫鱼,牛肉,猪肉(白条猪),生姜,生菜,白条鸡,白萝卜,白鲢活鱼,羊肉,胡萝卜,花鲢活鱼,芹菜,茄子,莲藕,莴笋,菜花,菠菜,菠萝,西瓜,西红柿,西葫芦,豆角,青椒,韭菜,香菇,香蕉,鸡蛋,鸭梨,黄瓜
2011-01-15,1.25,1.4,2.1,0.95,1.7,11.0,6.0,,6.1,2.35,1.1,13.5,12.0,10.0,36.5,20.0,6.05,2.45,18.0,1.0,8.5,37.5,,,0.7,4.0,4.5,1.25,2.9,2.4,,,2.85,3.25,6.6,4.0,6.45,9.6,4.4,8.8,,3.4
2011-01-16,1.25,1.4,2.1,0.95,1.7,11.0,6.0,,6.1,2.3,1.1,13.5,12.0,10.0,36.5,20.0,5.8,2.45,18.0,1.0,8.5,37.5,,,0.7,4.0,4.5,1.25,2.9,2.4,,,2.85,3.25,6.6,4.0,6.45,9.6,4.4,8.8,,3.4
2011-01-17,1.55,1.4,2.0,1.05,1.4,10.0,6.0,,6.0,2.6,1.1,13.5,12.0,10.0,36.5,20.0,5.6,3.05,18.0,1.4,8.5,38.0,,,0.6,4.0,4.5,1.35,3.2,2.5,,,2.25,3.45,7.8,6.0,6.15,7.0,4.4,8.8,,3.8
2011-01-18,1.55,1.4,2.0,1.05,1.4,10.0,6.0,,6.0,2.6,1.1,13.5,12.0,10.0,36.5,20.0,5.6,3.05,18.0,1.4,8.5,38.0,,,0.6,4.0,4.5,1.35,3.2,2.5,,,2.25,3.45,7.8,6.0,6.15,7.0,4.4,8.8,,3.8
2011-01-19,1.55,1.4,2.0,1.05,1.4,10.0,6.0,,6.0,2.6,1.1,13.5,12.0,10.0,36.5,20.0,5.6,3.05,18.0,1.4,8.5,38.0,,,0.6,4.0,4.5,1.35,3.2,2.5,,,2.25,3.45,7.8,6.0,6.4,7.0,4.4,8.8,,3.8
2011-01-20,1.6,1.4,2.0,0.95,1.4,10.0,6.0,,6.0,2.8,1.1,13.5,12.0,10.0,36.5,20.0,5.6,3.35,18.0,1.4,8.5,38.0,,,0.6,4.0,4.5,1.65,3.5,2.4,,,2.25,3.6,9.0,6.0,7.0,7.0,4.4,8.8,,4.1
2011-01-21,1.6,1.4,2.0,0.95,1.4,10.0,6.0,,6.0,2.8,1.1,13.5,12.0,10.0,36.5,20.0,5.6,3.35,18.0,1.4,8.5,38.0,,,0.6,4.0,4.5,1.65,3.5,2.4,,,2.25,3.6,9.0,6.0,7.2,7.0,4.4,9.1,,4.1
2011-01-22,1.5,1.4,2.0,0.95,1.7,10.0,5.0,,5.5,2.8,1.1,13.5,11.0,13.0,37.0,20.0,5.6,3.35,18.0,1.4,8.5,37.5,,,0.6,4.0,4.5,1.65,3.5,2.4,,,2.45,4.1,9.0,6.0,6.7,11.0,4.6,9.0,,4.4
2011-01-23,1.2,1.6,2.0,0.9,1.4,10.0,,,3.8,2.5,1.1,14.0,12.0,8.0,40.0,20.0,6.2,2.1,18.0,,8.5,40.0,,,0.6,4.0,4.0,1.5,3.8,2.3,,,2.5,3.6,8.0,,6.2,,,9.6,,4.6
2011-01-24,2.0,,2.0,1.0,2.0,11.0,5.0,,6.0,3.4,,13.0,10.0,18.0,34.0,,5.0,5.0,,1.4,,35.0,,,0.6,,5.0,2.4,4.2,2.8,,,2.4,4.6,10.0,6.0,6.2,11.0,4.6,8.4,,4.6
2011-01-25,1.6,1.6,2.0,0.95,1.7,10.5,5.0,,4.9,2.95,1.1,13.5,11.0,13.0,37.0,20.0,5.6,3.55,18.0,1.4,8.5,37.5,,,0.6,4.0,4.5,1.95,4.0,2.55,,,2.45,4.1,9.0,6.0,6.2,11.0,4.6,9.0,,4.6
2011-01-26,1.6,1.6,2.0,0.95,1.6,10.5,5.0,,5.05,3.0,1.1,13.5,11.0,13.5,37.0,20.0,5.6,3.55,18.0,1.4,8.5,40.0,,,0.75,3.6,4.5,2.1,4.9,2.4,,,2.5,4.6,9.0,6.0,6.2,11.0,4.6,9.0,,4.6
2011-01-27,1.6,1.6,2.0,0.95,1.6,10.5,5.0,,5.05,3.0,1.1,13.5,11.0,13.5,37.0,20.0,5.6,3.55,18.0,1.4,8.5,40.0,,,0.75,3.6,4.5,2.1,4.9,2.4,,,2.5,4.6,9.0,6.0,6.2,11.0,4.6,9.0,,4.6
2011-01-28,2.0,,2.0,1.0,2.0,11.0,5.0,,6.0,3.2,,13.0,10.0,18.0,34.0,,5.0,5.0,,1.4,,40.0,,,0.6,,5.0,2.4,5.6,2.8,,,2.4,4.6,10.0,6.0,6.2,11.0,4.6,8.4,,4.6
2011-01-29,1.6,1.6,2.0,0.95,1.6,10.5,5.0,,5.05,3.0,1.1,13.5,11.0,13.5,37.0,20.0,5.6,3.55,18.0,1.4,8.5,40.0,,,0.75,3.6,4.5,2.1,4.9,2.4,,,2.5,4.6,9.0,6.0,6.2,11.0,4.6,9.0,,4.6
2011-01-30,1.6,1.6,2.0,0.9,1.6,10.5,5.0,,5.3,3.0,1.1,13.5,11.0,13.5,37.0,20.0,5.6,3.7,18.0,1.4,8.5,40.0,,,0.9,3.6,4.5,2.05,4.9,2.35,,,2.55,4.8,9.15,6.0,6.5,11.0,4.6,9.0,,4.6
2011-01-31,1.6,1.6,2.0,0.9,1.6,10.5,5.0,,5.3,3.0,1.1,13.5,11.0,13.5,37.0,20.0,5.6,4.0,18.0,1.4,8.5,40.0,,,0.9,3.6,4.5,2.05,4.9,2.35,,,2.55,4.8,9.15,6.0,6.5,11.0,4.6,9.0,,4.6
2011-02-01,1.6,1.6,2.0,0.9,1.6,10.3,5.0,,5.3,2.9,1.1,13.5,11.0,13.5,37.0,20.0,5.6,4.0,18.0,1.4,8.5,40.0,,,0.9,3.6,4.5,2.05,4.65,2.35,,,2.25,4.8,9.15,6.0,6.5,11.0,4.6,9.0,,4.6
2011-02-02,1.6,1.6,2.0,0.9,1.6,10.3,5.0,,5.3,2.9,1.1,13.5,11.0,13.5,34.0,20.0,5.6,4.0,18.0,1.4,8.5,40.0,,,0.9,3.6,4.5,2.05,4.65,2.35,,,2.25,4.8,9.15,6.0,6.5,11.0,4.6,9.0,,4.6
2011-02-07,2.0,,2.0,1.0,2.0,11.0,5.0,,6.0,3.2,,13.0,10.0,18.0,34.0,,5.0,5.6,,1.4,,40.0,,,0.6,,5.0,2.4,5.6,2.8,,,2.4,4.6,10.0,6.0,6.2,11.0,4.6,8.4,,4.6
2011-02-08,1.4,1.6,2.0,0.8,1.4,9.0,,,2.4,3.0,1.0,14.0,12.0,9.0,,20.0,6.2,3.6,18.0,,8.5,40.0,,,1.0,3.0,4.0,2.4,2.6,1.4,,,2.1,3.2,7.4,,5.4,,,9.6,,3.0
2011-02-09,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.2,3.5,1.0,13.5,11.0,13.5,35.0,20.0,5.6,3.8,18.0,1.4,8.5,38.0,,,0.8,3.0,4.5,2.8,2.7,2.5,,,1.95,2.9,8.7,6.0,5.7,11.0,4.6,9.0,,3.1
2011-02-10,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.2,3.5,1.0,13.5,11.0,13.5,35.0,20.0,5.6,3.8,18.0,1.4,8.5,38.0,,,0.8,3.0,4.5,2.8,2.7,2.5,,,1.9,2.9,8.7,6.0,5.7,11.0,4.6,9.0,,3.1
2011-02-11,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.2,3.5,1.0,13.5,11.0,13.5,35.0,20.0,5.6,3.8,18.0,1.4,8.5,38.0,,,0.8,3.0,4.5,2.8,2.7,2.5,,,1.9,2.9,8.7,6.0,5.7,11.0,4.6,9.0,,3.1
2011-02-12,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.4,3.1,0.9,13.5,11.0,13.5,35.0,20.0,4.75,3.0,18.0,1.4,8.5,38.0,,,0.7,2.6,4.5,3.05,2.75,2.8,,,1.9,2.3,8.25,6.0,5.0,11.0,4.6,8.9,,3.1
2011-02-13,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.4,3.1,0.9,13.5,11.0,13.5,35.0,20.0,4.75,3.0,18.0,1.4,8.5,38.0,,,0.7,2.6,4.5,3.05,2.75,2.8,,,1.9,2.3,8.25,6.0,5.0,11.0,4.6,8.9,,3.1
2011-02-14,1.7,1.6,2.0,0.9,1.7,9.5,5.0,,4.4,3.1,0.9,13.5,11.0,13.5,35.0,20.0,4.75,3.0,18.0,1.4,8.5,38.0,,,0.7,2.6,4.5,3.05,2.75,2.8,,,1.9,2.3,8.25,6.0,5.0,11.0,4.6,8.9,,3.1
2011-02-15,1.7,1.6,2.0,0.9,1.7,10.1,5.0,,3.9,2.5,0.9,13.5,11.0,13.5,35.0,20.0,4.75,2.8,18.0,1.4,8.5,38.0,,,0.7,2.6,5.0,3.25,2.95,3.0,,,1.7,2.5,6.75,8.4,3.5,7.0,4.6,8.9,,2.7
2011-02-16,1.7,1.6,2.0,0.9,1.7,10.1,5.0,,3.9,2.5,0.9,13.5,11.0,13.5,35.0,20.0,4.75,2.8,18.0,1.4,8.5,38.0,,,0.7,2.6,5.0,3.25,2.95,3.0,,,1.7,2.5,6.75,8.4,3.5,7.0,4.6,8.9,,2.7
2011-02-17,1.7,1.6,2.0,0.9,1.7,10.1,5.0,,3.9,2.5,0.9,13.5,11.0,13.5,35.0,20.0,4.75,2.8,18.0,1.4,8.5,38.0,,,0.7,2.6,5.0,3.25,2.95,3.0,,,1.7,2.5,6.75,8.4,3.5,7.0,4.6,8.9,,2.7
2011-02-18,1.7,1.6,1.9,0.9,1.4,10.1,5.0,,3.9,2.6,0.9,13.5,11.0,13.5,35.5,20.0,4.75,3.5,18.0,,8.5,38.0,,,0.6,2.6,5.3,2.95,2.85,2.5,,,1.4,3.0,6.55,8.0,3.3,10.0,4.6,8.9,,2.8
2011-02-19,1.7,1.6,1.9,0.9,1.4,10.1,5.0,,3.9,2.6,0.9,13.5,11.0,13.5,35.5,20.0,4.75,3.5,18.0,,8.5,38.0,,,0.6,2.6,5.3,2.95,2.85,2.5,,,1.4,3.0,6.55,8.0,3.3,10.0,4.6,8.9,,2.8
2011-02-20,1.7,1.6,1.9,0.9,1.4,10.1,5.0,,3.8,2.5,0.9,13.5,11.0,13.5,35.5,20.0,4.6,3.5,18.0,,8.5,38.0,,,0.6,3.0,5.3,2.8,2.8,2.4,,,1.1,3.5,6.55,8.0,3.1,10.0,4.6,8.9,,2.7
2011-02-21,1.4,1.6,2.0,0.8,1.4,9.0,,,2.6,2.0,0.9,14.0,12.0,9.0,38.0,20.0,4.2,2.0,18.0,,8.5,40.0,,,0.8,3.0,4.0,2.6,2.6,1.8,,,1.4,3.0,6.5,,3.6,,,9.4,,2.8
2011-02-22,1.7,1.6,1.9,0.8,1.4,10.1,5.0,,3.8,2.3,0.9,13.5,11.0,13.5,35.5,20.0,4.6,3.5,18.0,,8.5,38.0,,,0.6,3.0,5.3,2.8,2.8,2.9,,,1.1,3.5,6.55,8.0,3.1,10.0,4.6,8.9,,2.7
2011-02-23,2.0,,1.8,0.8,1.4,11.2,5.0,,5.0,2.6,,13.0,10.0,18.0,33.0,,5.0,5.0,,,,36.0,,,0.4,,6.6,3.0,3.0,4.0,,,0.8,4.0,6.6,8.0,2.6,10.0,4.6,8.4,,2.6
2011-02-24,1.7,1.6,1.9,0.8,1.4,10.1,5.0,,3.8,2.3,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.5,18.0,,8.5,37.0,,,0.6,3.0,5.3,2.8,2.8,2.9,,,1.1,3.5,6.55,8.0,3.1,10.0,4.6,8.9,,2.7
2011-02-25,1.7,1.6,1.9,0.8,1.4,10.1,5.0,,3.8,2.3,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.5,18.0,,8.5,37.0,,,0.6,3.0,5.3,2.8,2.8,2.9,,,1.1,3.5,6.55,8.0,3.1,10.0,4.6,8.9,,2.7
2011-02-26,1.7,1.6,1.9,0.75,1.55,10.1,5.0,,4.0,2.6,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.7,18.0,,8.5,37.0,,,0.6,4.4,5.3,3.0,3.0,3.3,,,1.3,4.0,7.3,8.0,3.0,10.0,4.6,8.9,,2.7
2011-02-27,1.7,1.6,1.9,0.75,1.55,10.1,5.0,,4.0,2.6,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.7,18.0,,8.5,37.0,,,0.6,4.4,5.3,3.0,3.0,3.3,,,1.3,4.0,7.3,8.0,3.0,10.0,4.6,8.9,,2.7
2011-02-28,1.7,1.6,1.9,0.75,1.55,10.1,5.0,,4.0,2.6,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.7,18.0,,8.5,37.0,,,0.6,4.4,5.3,3.0,3.0,3.3,,,1.3,4.0,7.3,8.0,3.0,10.0,4.6,8.9,,2.7
2011-03-01,1.7,1.6,1.9,0.65,1.65,10.0,5.0,,2.7,2.8,0.9,13.5,11.0,13.5,34.5,20.0,4.6,3.2,18.0,,8.5,37.0,,,0.7,4.4,5.0,3.0,3.2,3.1,,,2.1,4.5,10.0,9.4,3.2,9.0,4.4,8.9,,3.4
2011-03-02,1.8,1.6,1.9,0.65,1.65,10.2,5.0,,2.7,2.9,0.8,12.5,10.5,13.5,34.5,20.0,4.5,3.8,18.0,,8.5,37.0,,,0.8,5.2,5.0,3.0,3.1,3.0,,,2.7,4.6,11.0,9.4,3.35,9.0,4.4,8.9,,3.8
2011-03-03,1.8,1.6,1.9,0.65,1.65,10.2,5.0,,2.7,2.9,0.8,12.5,10.5,13.5,34.5,20.0,4.5,3.8,18.0,,8.5,37.0,,,0.8,5.2,5.0,3.0,3.1,3.0,,,2.7,4.6,11.0,9.4,3.35,9.0,4.4,8.9,,3.8
2011-03-04,1.8,1.6,1.9,0.65,1.65,10.2,5.0,,2.7,2.9,0.8,12.5,10.5,13.5,34.5,20.0,4.5,3.8,18.0,,8.5,37.0,,,0.8,5.2,5.0,3.0,3.1,3.2,,,2.7,4.6,11.0,9.4,3.35,9.0,4.4,8.9,,3.8
2011-03-05,1.8,1.6,1.9,0.65,1.65,10.2,5.0,,2.7,2.9,0.8,12.5,10.5,13.5,34.5,20.0,4.5,3.8,18.0,,8.5,37.0,,,0.8,5.2,5.0,3.0,3.1,3.2,,,2.7,4.6,11.0,9.4,3.35,9.0,4.4,8.9,,3.8
2011-03-06,1.6,1.6,2.0,0.7,1.7,9.4,,,3.0,2.8,0.8,12.0,11.0,9.0,36.0,20.0,4.0,3.6,18.0,,8.5,38.0,,,1.0,5.2,4.0,3.0,2.8,2.4,,,3.0,4.2,10.0,,3.7,,,9.0,,3.6
2011-03-07,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.1,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.3,18.0,,8.5,36.3,,,1.1,5.2,5.0,3.0,3.0,3.0,,,2.7,4.6,11.0,8.6,3.85,9.0,4.4,8.7,,3.8
2011-03-08,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.6,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.1,18.0,,8.5,36.3,,,1.4,6.4,5.0,2.9,3.1,2.9,,,2.9,4.9,10.0,8.6,4.4,9.0,4.4,8.7,,3.8
2011-03-09,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.6,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.1,18.0,,8.0,36.3,,,1.4,6.4,5.0,2.9,3.1,2.9,,,3.2,4.9,10.0,8.6,4.4,9.0,4.4,8.7,,3.8
2011-03-10,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.6,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.1,18.0,,8.0,36.3,,,1.4,6.4,5.0,2.9,3.1,2.9,,,3.2,4.9,10.0,8.6,4.4,9.0,4.4,8.7,,3.8
2011-03-11,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.6,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.1,18.0,,8.0,36.3,,,1.4,6.4,5.0,2.9,3.1,2.9,,,3.2,4.9,10.0,8.6,4.4,9.0,4.4,8.7,,3.8
2011-03-12,1.8,1.6,1.9,0.65,1.65,11.2,5.0,,2.7,3.6,0.8,12.5,10.5,13.5,34.0,20.0,4.5,4.1,18.0,,8.0,36.3,,,1.4,6.4,5.0,2.9,3.1,2.9,,,3.2,4.9,10.0,8.6,4.4,9.0,4.4,8.7,,3.8
2011-03-13,1.6,1.6,2.0,0.6,1.7,9.4,,,3.0,3.4,0.8,12.0,11.0,9.0,36.0,20.0,4.0,4.4,18.0,,8.0,38.0,,,1.4,5.0,4.0,3.0,2.6,2.0,,,3.6,4.0,8.0,,3.2,,,9.0,,3.2
2011-03-14,1.8,1.6,1.9,0.6,1.65,11.2,5.0,,2.7,3.4,0.8,13.5,10.5,13.5,34.0,20.0,4.5,4.7,18.0,,8.0,36.3,,,1.3,5.0,5.0,3.0,2.9,2.8,,,3.0,4.5,10.0,8.6,3.6,9.0,4.4,8.5,,3.4
2011-03-15,1.8,1.6,1.9,0.6,1.65,11.2,5.0,,2.7,3.4,0.8,13.5,10.5,13.5,34.0,20.0,4.5,4.6,18.0,,8.0,36.3,,,1.3,5.0,5.0,3.0,2.8,2.8,,,3.0,4.5,10.0,8.6,3.6,9.0,4.4,8.5,,3.4
2011-03-16,1.8,1.6,1.9,0.6,1.65,11.3,5.0,,2.7,3.4,0.8,13.5,10.5,13.5,34.0,20.0,4.5,4.6,18.0,,8.0,36.3,,,1.3,5.0,5.0,3.0,2.8,2.8,,,3.0,4.5,10.2,8.6,3.6,9.0,4.4,8.5,,3.4
2011-03-17,2.0,,1.8,0.8,1.6,13.0,5.0,,2.4,3.2,,14.0,10.0,18.0,32.0,,5.0,5.0,,,,34.0,,,1.2,,6.0,3.0,3.2,3.0,,,2.4,5.0,12.0,8.6,4.0,9.0,4.4,8.4,,3.6
2011-03-18,1.8,1.6,1.9,0.7,1.65,11.3,5.0,,2.7,3.3,0.8,13.5,10.5,13.5,34.0,20.0,4.5,4.6,18.0,,8.0,36.0,,,1.3,5.0,5.0,3.0,2.8,2.5,,,3.0,4.5,10.2,8.6,3.6,9.0,4.4,8.5,,3.4
2011-03-19,1.8,1.6,1.9,0.7,1.65,11.3,5.0,,2.7,3.3,0.8,13.5,10.5,13.5,34.0,20.0,4.5,4.6,18.0,,8.0,36.0,,,1.3,5.0,5.0,3.0,2.8,2.5,,,3.0,4.5,10.2,8.6,3.6,9.0,4.4,8.5,,3.4
2011-03-20,1.9,2.4,1.9,0.7,1.6,11.0,5.0,,3.4,3.0,0.7,13.0,10.5,13.5,34.0,20.0,4.5,4.4,18.0,,8.0,36.0,,,1.4,4.0,4.8,3.1,3.0,2.4,,,3.0,3.9,9.0,8.6,3.8,9.0,4.4,8.5,,3.1
2011-03-21,2.2,2.4,1.9,0.65,1.6,10.5,4.6,,4.7,3.4,0.7,13.0,10.5,13.5,34.0,20.0,4.5,4.4,18.0,,8.0,35.9,,,1.5,4.0,4.8,3.4,2.9,2.4,,,3.6,3.2,8.5,12.6,3.3,9.0,4.4,8.5,,2.5
2011-03-22,2.2,2.4,1.9,0.65,1.6,10.5,4.6,,4.7,3.4,0.7,13.0,10.5,13.5,34.0,20.0,4.5,4.4,18.0,,8.0,35.9,,,1.5,4.0,4.8,3.4,2.9,2.4,,,3.6,3.2,8.5,12.6,3.3,9.0,4.4,8.5,,2.5
2011-03-23,2.2,2.4,1.9,0.65,1.6,10.5,4.6,,4.7,3.4,0.7,13.0,10.5,13.5,34.0,20.0,4.5,4.4,18.0,,8.0,35.9,,,1.5,4.0,4.8,3.4,2.9,2.4,,,3.6,3.2,8.5,12.6,3.3,9.0,4.4,8.5,,2.5
2011-03-24,2.2,2.4,1.9,0.7,1.6,10.4,4.6,,4.7,3.3,0.7,13.0,10.5,13.5,34.0,20.0,4.5,4.8,18.0,,8.0,35.9,,,1.5,3.2,4.8,3.4,3.0,2.4,,,3.4,3.2,9.0,12.6,3.3,9.0,4.4,8.5,,2.4
2011-03-25,2.2,2.4,1.9,0.7,1.6,10.4,4.6,,4.7,3.3,0.7,13.0,10.5,13.5,33.0,20.0,4.5,4.8,18.0,,8.0,34.9,,,1.5,3.2,4.8,3.4,3.0,2.4,,,3.4,3.2,9.0,12.6,3.3,9.0,4.4,8.5,,2.4
2011-03-26,1.8,2.4,2.0,0.7,1.6,8.8,,,4.4,2.6,0.7,12.0,11.0,9.0,34.0,20.0,4.0,4.6,18.0,,8.0,36.0,,,1.6,3.2,3.6,3.2,3.0,1.8,,,3.2,2.8,7.0,,3.6,,,8.6,,2.4
2011-03-27,1.8,2.4,2.0,0.7,1.6,8.8,,,4.4,2.6,0.7,12.0,11.0,9.0,34.0,18.0,4.0,4.6,18.0,,8.0,36.0,,,1.6,3.2,3.6,3.2,3.0,1.8,,,3.2,2.8,7.0,,3.6,,,8.6,,2.4
2011-03-28,2.2,2.4,1.9,0.75,1.6,9.4,4.6,,5.0,3.0,0.7,13.0,10.5,13.5,33.0,18.0,4.5,4.8,18.0,,8.0,34.9,,,1.7,3.2,4.8,3.1,3.1,2.4,,,3.2,2.7,9.0,14.0,3.8,8.0,4.4,8.5,,2.4
2011-03-29,2.2,2.4,1.9,0.75,1.6,9.4,4.6,,4.7,3.0,0.7,13.0,10.5,13.0,33.0,18.0,4.5,4.8,15.0,,8.0,34.9,,,1.7,3.2,4.8,3.1,3.1,2.4,,,3.3,2.6,8.75,14.0,3.8,8.0,4.4,8.5,,2.4
2011-03-30,2.6,,1.8,0.8,1.6,10.0,4.6,,5.6,3.4,,14.0,10.0,18.0,32.0,,5.0,5.0,,,,33.8,,,1.8,,6.0,3.0,3.2,3.0,,,3.2,2.6,11.0,14.0,4.0,8.0,4.4,8.4,,2.4
2011-03-31,2.2,2.4,1.9,0.7,1.6,9.4,4.6,,4.7,3.0,0.7,13.0,10.5,13.0,33.0,18.0,4.5,4.9,15.0,,8.0,34.9,,,1.6,2.4,4.8,3.2,3.3,2.4,,,3.3,2.6,8.75,14.0,3.8,8.0,4.4,8.5,,2.4
2011-04-01,2.2,2.4,1.9,0.7,1.6,9.4,4.6,,4.7,3.0,0.7,13.0,10.5,13.0,33.0,18.0,4.5,4.9,15.0,,8.0,34.9,,,1.6,2.4,4.8,3.2,3.3,2.4,,,3.3,2.6,8.75,14.0,3.8,8.0,4.4,8.4,,2.4
2011-04-02,2.2,2.4,1.9,0.7,1.6,9.4,4.6,,4.7,3.0,0.7,13.0,10.5,13.0,33.0,18.0,4.5,4.9,15.0,,8.0,34.9,,,1.6,2.4,4.8,3.2,3.3,2.4,,,3.3,2.6,8.75,14.0,3.8,8.0,4.4,8.4,,2.4
